"Tag_ID","Animal_ID","x","y","date","time","position"
43,3,203414,7567888,"2010-07-29",NA,"horizontal"
43,3,203706,7567481,"2010-07-30",NA,"vertical"
43,3,203725,7567503,"2010-07-30",NA,"horizontal"
44,4,203508,7567589,"2010-08-01","17:07:00","roost"
44,4,203010,7568675,"2010-08-01","20:22:00","vertical"
44,4,203136,7568904,"2010-08-01","20:57:00","horizontal"
44,4,203096,7568881,"2010-08-01","20:57:01","horizontal"
44,4,203133,7568924,"2010-08-01","20:59:00","horizontal"
44,4,203070,7568859,"2010-08-01","21:00:00","horizontal"
44,4,203030,7568871,"2010-08-01","21:01:00","vertical"
44,4,203114,7568907,"2010-08-01","21:23:00","vertical"
44,4,203181,7568656,"2010-08-01","21:24:00","horizontal"
44,4,203074,7568809,"2010-08-01","21:24:01","vertical"
44,4,203026,7568898,"2010-08-01","21:39:01","horizontal"
44,4,203026,7568898,"2010-08-01","21:39:03","horizontal"
44,4,203033,7568753,"2010-08-01","21:41:00","horizontal"
44,4,203027,7568825,"2010-08-01","21:58:00","vertical"
44,4,203014,7568820,"2010-08-01","21:59:00","horizontal"
44,4,202998,7568716,"2010-08-01","22:00:00","vertical"
44,4,203040,7568763,"2010-08-01","22:06:00","horizontal"
44,4,203042,7568841,"2010-08-01","22:07:00","horizontal"
44,4,203059,7568863,"2010-08-01","22:07:01","horizontal"
44,4,203033,7568848,"2010-08-01","22:08:00","horizontal"
44,4,203067,7568827,"2010-08-01","22:09:00","vertical"
44,4,203037,7568850,"2010-08-01","22:10:00","vertical"
44,4,203048,7568811,"2010-08-01","22:34:00","horizontal"
44,4,203639,7568602,"2010-08-01","22:35:00","horizontal"
44,4,204812,7568466,"2010-08-02","18:45:00","horizontal"
44,4,204434,7568796,"2010-08-02","18:45:01","horizontal"
44,4,206468,7573005,"2010-08-02","18:45:00","horizontal"
44,4,210457,7577759,"2010-08-02","18:46:00","horizontal"
44,4,203366,7569449,"2010-08-02","18:48:00","horizontal"
44,4,202895,7568699,"2010-08-02","19:32:00","horizontal"
44,4,203183,7568585,"2010-08-02","19:33:00","horizontal"
44,4,202883,7568695,"2010-08-02","19:35:00","vertical"
44,4,203075,7568795,"2010-08-02","19:59:00","horizontal"
44,4,203373,7568552,"2010-08-02","19:59:01","vertical"
44,4,203720,7568314,"2010-08-02","20:00:00","horizontal"
44,4,203163,7568554,"2010-08-02","20:00:01","horizontal"
44,4,202960,7568572,"2010-08-02","20:00:02","horizontal"
44,4,202955,7568641,"2010-08-02","20:00:03","horizontal"
44,4,203454,7568538,"2010-08-02","20:04:00","horizontal"
44,4,203296,7568611,"2010-08-02","20:04:01","horizontal"
44,4,203044,7568879,"2010-08-02","20:06:00","vertical"
44,4,203043,7568878,"2010-08-02","20:25:00","horizontal"
44,4,203063,7568828,"2010-08-02","20:26:00","horizontal"
44,4,203049,7568855,"2010-08-02","21:25:00","vertical"
44,4,203058,7568839,"2010-08-02","21:26:00","vertical"
44,4,203046,7568868,"2010-08-02","21:34:00","vertical"
44,4,203519,7567594,"2010-08-03","18:26:00","vertical"
44,4,203575,7567637,"2010-08-03","18:30:00","vertical"
44,4,203508,7567664,"2010-08-03","18:33:00","vertical"
44,4,203498,7567629,"2010-08-03","18:34:00","horizontal"
44,4,203525,7567694,"2010-08-03","18:35:00","horizontal"
44,4,203492,7567655,"2010-08-03","18:36:00","horizontal"
44,4,203042,7568707,"2010-08-03","18:53:00","vertical"
44,4,203049,7568792,"2010-08-03","18:56:00","vertical"
44,4,202929,7568738,"2010-08-03","18:59:00","horizontal"
44,4,203002,7568769,"2010-08-03","18:59:01","horizontal"
44,4,203003,7568728,"2010-08-03","18:59:02","horizontal"
44,4,203107,7568933,"2010-08-03","18:59:03","horizontal"
44,4,202970,7568787,"2010-08-03","19:00:00","horizontal"
44,4,203101,7568928,"2010-08-03","19:00:01","horizontal"
44,4,203080,7568800,"2010-08-03","19:00:02","horizontal"
44,4,203107,7568807,"2010-08-03","19:01:00","horizontal"
44,4,203091,7568891,"2010-08-03","19:01:01","horizontal"
44,4,203080,7568638,"2010-08-03","19:01:02","horizontal"
44,4,203139,7568771,"2010-08-03","19:01:03","horizontal"
44,4,203107,7568646,"2010-08-03","19:02:00","vertical"
44,4,203108,7568852,"2010-08-03","19:10:00","horizontal"
44,4,203086,7568875,"2010-08-03","19:10:01","horizontal"
44,4,203029,7568800,"2010-08-03","19:10:02","horizontal"
44,4,203075,7568906,"2010-08-03","19:11:00","horizontal"
44,4,203005,7568791,"2010-08-03","19:11:01","horizontal"
44,4,203082,7568869,"2010-08-03","19:12:00","horizontal"
44,4,203031,7568815,"2010-08-03","19:12:01","horizontal"
44,4,203074,7568879,"2010-08-03","19:13:00","horizontal"
44,4,203072,7568903,"2010-08-03","19:14:01","horizontal"
44,4,203018,7568749,"2010-08-03","19:14:02","horizontal"
44,4,203056,7568778,"2010-08-03","19:15:00","vertical"
44,4,203022,7568760,"2010-08-03","19:28:00","horizontal"
44,4,203005,7568681,"2010-08-03","19:29:00","horizontal"
44,4,203071,7568682,"2010-08-03","19:29:01","horizontal"
44,4,203189,7568696,"2010-08-03","19:30:00","horizontal"
44,4,203015,7568675,"2010-08-03","19:30:01","horizontal"
44,4,203046,7568721,"2010-08-03","19:30:02","horizontal"
44,4,202980,7568749,"2010-08-03","19:31:00","horizontal"
44,4,202983,7568783,"2010-08-03","19:31:01","horizontal"
44,4,203000,7568749,"2010-08-03","19:32:00","horizontal"
44,4,203059,7568749,"2010-08-03","19:32:01","horizontal"
44,4,203153,7568772,"2010-08-03","19:51:00","horizontal"
44,4,203042,7568776,"2010-08-03","19:51:01","horizontal"
44,4,202960,7568729,"2010-08-03","19:52:00","horizontal"
44,4,202976,7568749,"2010-08-03","19:52:02","horizontal"
44,4,203236,7568741,"2010-08-03","19:53:00","horizontal"
44,4,203018,7568688,"2010-08-03","19:54:00","horizontal"
44,4,203002,7568707,"2010-08-03","19:54:01","vertical"
44,4,203066,7568749,"2010-08-03","20:03:00","horizontal"
44,4,202968,7568681,"2010-08-03","20:03:01","horizontal"
44,4,203041,7568693,"2010-08-03","20:03:02","horizontal"
44,4,203022,7568588,"2010-08-03","20:03:03","horizontal"
44,4,203008,7568648,"2010-08-03","20:04:00","horizontal"
44,4,203108,7568621,"2010-08-03","20:04:01","horizontal"
44,4,203082,7568637,"2010-08-03","20:05:00","horizontal"
44,4,203036,7568663,"2010-08-03","20:05:01","horizontal"
44,4,203049,7568556,"2010-08-03","20:06:00","horizontal"
44,4,202968,7568681,"2010-08-03","20:06:01","horizontal"
44,4,203041,7568693,"2010-08-03","20:11:00","horizontal"
44,4,203082,7568714,"2010-08-03","20:11:01","horizontal"
44,4,202968,7568681,"2010-08-03","20:11:02","horizontal"
44,4,202978,7568641,"2010-08-03","20:12:00","vertical"
44,4,203030,7568630,"2010-08-03","20:15:00","horizontal"
44,4,203006,7568717,"2010-08-03","20:15:01","horizontal"
44,4,202923,7568736,"2010-08-03","20:15:02","horizontal"
44,4,202981,7568751,"2010-08-03","20:16:00","horizontal"
44,4,202974,7568737,"2010-08-03","20:17:00","horizontal"
44,4,203005,7568714,"2010-08-03","20:18:00","horizontal"
44,4,202973,7568692,"2010-08-03","20:19:00","horizontal"
44,4,203049,7568556,"2010-08-03","20:41:00","horizontal"
44,4,203082,7568678,"2010-08-03","20:41:01","horizontal"
44,4,203082,7568714,"2010-08-03","20:41:02","horizontal"
44,4,203051,7568749,"2010-08-03","20:41:00","vertical"
44,4,203082,7568637,"2010-08-03","21:00:00","horizontal"
46,5,203786,7568882,"2010-07-31","18:00:00","roost"
46,5,203011,7568918,"2010-08-04","18:44:00","horizontal"
46,5,203358,7568782,"2010-08-04","19:13:00","horizontal"
46,5,203384,7568773,"2010-08-04","19:14:00","horizontal"
46,5,203335,7568793,"2010-08-04","19:14:01","horizontal"
46,5,203335,7568810,"2010-08-04","19:14:02","horizontal"
46,5,203333,7568811,"2010-08-04","19:15:00","horizontal"
46,5,203371,7568823,"2010-08-04","19:34:00","horizontal"
46,5,203267,7568890,"2010-08-04","19:35:00","horizontal"
46,5,203212,7569099,"2010-08-04","19:35:01","horizontal"
46,5,202581,7569223,"2010-08-04","19:37:00","horizontal"
46,5,203272,7569077,"2010-08-04","19:43:00","horizontal"
46,5,203478,7568661,"2010-08-04","19:46:00","horizontal"
46,5,203591,7568780,"2010-08-04","19:47:00","horizontal"
46,5,203491,7568681,"2010-08-04","19:47:01","horizontal"
46,5,203499,7568776,"2010-08-04","19:47:02","horizontal"
46,5,203502,7568796,"2010-08-04","19:48:00","horizontal"
46,5,203495,7568706,"2010-08-04","19:49:00","horizontal"
46,5,203543,7568789,"2010-08-04","19:50:00","horizontal"
46,5,203756,7568782,"2010-08-04","20:28:00","horizontal"
46,5,203686,7568719,"2010-08-04","20:29:00","horizontal"
46,5,203718,7568625,"2010-08-04","20:29:01","horizontal"
46,5,203799,7568721,"2010-08-04","20:33:00","vertical"
46,5,203853,7568723,"2010-08-04","20:34:00","horizontal"
